distance,elapsed_time,highest_elevation,lowest_elevation,moving_time,total_elevation_gain
5145.8,32682,143.6,121.5,1293,47.6
14492.2,35667,231.0,148.4,2705,81.4
14646.7,35519,230.8,148.4,2529,80.5
14667.8,35549,230.1,148.4,2624,80.2
14632.6,35210,228.8,148.3,2444,79.0
14721.7,35464,229.9,148.4,2546,79.9
14675.6,35782,229.3,148.3,2611,79.5
14632.6,35213,228.8,148.3,2447,79.0
14658.3,35990,230.7,148.4,2562,79.6
14689.6,35730,231.5,148.4,2611,79.4
14700.1,35339,231.0,148.4,2561,80.6
14698.1,35975,230.7,148.4,2481,80.8
14703.4,35024,231.4,148.3,2452,81.7
15069.2,35334,229.3,145.5,2553,83.1
14651.8,35650,229.5,148.4,2527,79.7
14630.1,34815,229.3,148.4,2523,79.5
14721.1,35084,230.9,148.4,2493,80.1
14326.7,34874,230.1,148.3,2232,80.5
14637.5,35822,228.1,148.4,2542,79.0
14656.3,35957,230.6,148.4,2443,79.7
14698.0,35645,231.5,148.4,2501,91.0
14643.3,34975,229.7,148.4,2477,89.6
14697.8,35507,232.3,148.4,2434,90.9
14657.6,35568,229.0,148.4,2483,90.3
14689.1,34495,230.3,148.3,2477,91.4
14699.6,34686,229.8,148.4,2469,80.2
